iter	Passed	Remaining
0	18	3729
1	38	3810
2	57	3754
3	75	3723
4	94	3675
5	113	3664
6	132	3646
7	151	3628
8	169	3607
9	188	3583
10	207	3562
11	226	3548
12	245	3533
13	264	3509
14	282	3485
15	301	3472
16	320	3454
17	339	3434
18	358	3410
19	376	3390
20	395	3368
21	413	3348
22	432	3330
23	451	3309
24	470	3291
25	489	3272
26	507	3254
27	527	3237
28	545	3216
29	564	3198
30	583	3178
31	602	3162
32	621	3144
33	640	3127
34	659	3109
35	678	3092
36	697	3072
37	716	3055
38	736	3039
39	755	3020
40	774	3002
41	793	2984
42	812	2966
43	831	2947
44	850	2930
45	869	2911
46	888	2893
47	908	2876
48	928	2859
49	946	2840
50	966	2822
51	985	2803
52	1004	2786
53	1023	2767
54	1042	2748
55	1060	2727
56	1079	2708
57	1098	2689
58	1117	2670
59	1136	2652
60	1156	2634
61	1175	2615
62	1194	2596
63	1213	2578
64	1232	2559
65	1252	2542
66	1270	2522
67	1289	2503
68	1308	2484
69	1328	2466
70	1347	2447
71	1365	2428
72	1384	2409
73	1403	2389
74	1422	2371
75	1441	2352
76	1461	2334
77	1480	2315
78	1500	2297
79	1519	2278
80	1538	2260
81	1557	2241
82	1576	2222
83	1595	2203
84	1614	2183
85	1632	2164
86	1651	2145
87	1670	2126
88	1689	2107
89	1708	2088
90	1727	2069
91	1746	2049
92	1764	2030
93	1783	2010
94	1802	1991
95	1821	1973
96	1840	1954
97	1859	1935
98	1878	1916
99	1896	1896
100	1914	1877
101	1933	1858
102	1952	1838
103	1971	1819
104	1989	1800
105	2008	1780
106	2026	1761
107	2045	1742
108	2064	1723
109	2083	1704
110	2103	1686
111	2122	1667
112	2141	1648
113	2159	1629
114	2178	1610
115	2197	1591
116	2215	1571
117	2234	1552
118	2252	1533
119	2271	1514
120	2289	1494
121	2308	1475
122	2327	1457
123	2346	1437
124	2364	1418
125	2382	1399
126	2400	1379
127	2418	1360
128	2437	1341
129	2455	1322
130	2473	1302
131	2491	1283
132	2511	1265
133	2529	1245
134	2547	1226
135	2566	1207
136	2584	1188
137	2603	1169
138	2621	1150
139	2640	1131
140	2659	1113
141	2678	1093
142	2697	1075
143	2716	1056
144	2736	1037
145	2754	1018
146	2772	999
147	2792	980
148	2811	962
149	2829	943
150	2848	924
151	2867	905
152	2886	886
153	2905	867
154	2923	848
155	2942	829
156	2961	810
157	2979	792
158	2998	773
159	3017	754
160	3036	735
161	3054	716
162	3073	697
163	3092	678
164	3112	660
165	3130	641
166	3150	622
167	3169	603
168	3188	584
169	3207	566
170	3227	547
171	3246	528
172	3264	509
173	3284	490
174	3303	471
175	3322	453
176	3341	434
177	3360	415
178	3379	396
179	3398	377
180	3417	358
181	3435	339
182	3453	320
183	3472	301
184	3491	283
185	3510	264
186	3528	245
187	3547	226
188	3566	207
189	3584	188
190	3603	169
191	3622	150
192	3641	132
193	3659	113
194	3678	94
195	3697	75
196	3716	56
197	3735	37
198	3753	18
199	3772	0
