neurons,layers,lr,train_loss,eval_loss,test_loss
100,1,0.001,0.2897416651248932,0.2923164665699005,0.2896462678909302
100,1,0.0005,0.5548633933067322,0.5555452704429626,0.5533504486083984
100,1,0.0003,0.7743815183639526,0.7747378349304199,0.7739812135696411
100,2,0.001,0.43914732336997986,0.4414467513561249,0.4392346143722534
100,2,0.0005,0.6926064491271973,0.6962361335754395,0.6913641095161438
100,2,0.0003,0.8201156854629517,0.8220295906066895,0.8162298202514648
100,4,0.001,0.6109358072280884,0.614983320236206,0.6112996339797974
100,4,0.0005,0.7582716345787048,0.759099006652832,0.7570271492004395
100,4,0.0003,0.9708012938499451,0.9711866974830627,0.9692339897155762
110,1,0.001,0.2969328463077545,0.29952409863471985,0.2969595491886139
110,1,0.0005,0.49529194831848145,0.4982568025588989,0.49680623412132263
110,1,0.0003,0.7459151744842529,0.7496168613433838,0.7450619339942932
110,2,0.001,0.4346548318862915,0.43533581495285034,0.4348510503768921
110,2,0.0005,0.5653709173202515,0.5655711889266968,0.5673919916152954
110,2,0.0003,0.7828825116157532,0.7843796014785767,0.7788622379302979
110,4,0.001,0.7142788171768188,0.7182411551475525,0.7137776017189026
110,4,0.0005,0.7300423383712769,0.7337362766265869,0.7269300818443298
110,4,0.0003,0.9496879577636719,0.9502034187316895,0.9467370510101318
120,1,0.001,0.2416621595621109,0.24424970149993896,0.2416589856147766
120,1,0.0005,0.4056017994880676,0.4088042974472046,0.4085133969783783
120,1,0.0003,0.7173224091529846,0.7203690409660339,0.7139545679092407
120,2,0.001,0.4250701367855072,0.4262189269065857,0.42650705575942993
120,2,0.0005,0.5569277405738831,0.5587080121040344,0.5563154220581055
120,2,0.0003,0.7590906023979187,0.7628577351570129,0.7580726742744446
120,4,0.001,0.713315486907959,0.7168537974357605,0.7118680477142334
120,4,0.0005,0.7323366403579712,0.7338828444480896,0.73084557056427
120,4,0.0003,0.89206463098526,0.8925157189369202,0.8887942433357239
130,1,0.001,0.2244907021522522,0.22675874829292297,0.22546279430389404
130,1,0.0005,0.3998268246650696,0.40005433559417725,0.40259024500846863
130,1,0.0003,0.6796491742134094,0.6835852861404419,0.6795095205307007
130,2,0.001,0.4297868013381958,0.4308454394340515,0.4298708736896515
130,2,0.0005,0.5172474384307861,0.5194051861763,0.5186008810997009
130,2,0.0003,0.7279279232025146,0.7267681956291199,0.7250444293022156
130,4,0.001,0.5951392650604248,0.5998393297195435,0.5981742739677429
130,4,0.0005,0.7385415434837341,0.7429628968238831,0.7375268936157227
130,4,0.0003,0.7929425239562988,0.7965008020401001,0.790222704410553
140,1,0.001,0.18985170125961304,0.19201308488845825,0.1903427243232727
140,1,0.0005,0.4010230004787445,0.404371976852417,0.4016351103782654
140,1,0.0003,0.6114732027053833,0.6134459972381592,0.6110529899597168
140,2,0.001,0.3571643829345703,0.3600030541419983,0.35745492577552795
140,2,0.0005,0.5465685129165649,0.5495840907096863,0.5483322739601135
140,2,0.0003,0.5966349840164185,0.6014630794525146,0.5975415706634521
140,4,0.001,0.5496119856834412,0.5518638491630554,0.5511545538902283
140,4,0.0005,0.7045289874076843,0.7085584402084351,0.7057679295539856
140,4,0.0003,0.7727823853492737,0.7756469249725342,0.7698559165000916
150,1,0.001,0.18009646236896515,0.18174077570438385,0.18070493638515472
150,1,0.0005,0.334317147731781,0.3367993235588074,0.3332667648792267
150,1,0.0003,0.528530478477478,0.5309790968894958,0.52654629945755
150,2,0.001,0.4182913303375244,0.4207253158092499,0.41842347383499146
150,2,0.0005,0.46396902203559875,0.4637654423713684,0.46511515974998474
150,2,0.0003,0.6101272702217102,0.6109037399291992,0.6103295683860779
150,4,0.001,0.7117784023284912,0.7148315906524658,0.7108250260353088
150,4,0.0005,0.7082921266555786,0.7118901014328003,0.7084866166114807
150,4,0.0003,0.7880346179008484,0.7923743724822998,0.7883213758468628
160,1,0.001,0.16190265119075775,0.16370704770088196,0.16023385524749756
160,1,0.0005,0.299894779920578,0.30366161465644836,0.29990336298942566
160,1,0.0003,0.536482572555542,0.5372827053070068,0.534582257270813
