iter	RMSE
0	0.9468601789
1	0.893284005
2	0.8444340991
3	0.7986680671
4	0.7563676353
5	0.7152672711
6	0.6774688562
7	0.6416365775
8	0.6091627254
9	0.5786476111
10	0.5499266884
11	0.5235787617
12	0.4985909202
13	0.4756283583
14	0.45610542
15	0.4370735413
16	0.4177954515
17	0.3993839111
18	0.3843587389
19	0.3680442117
20	0.353442853
21	0.3396495417
22	0.3280071988
23	0.3162440402
24	0.3061470216
25	0.2957198399
26	0.2861837261
27	0.2778500752
28	0.2699018972
29	0.2615422051
30	0.2536095846
31	0.2476624599
32	0.241888059
33	0.2357334492
34	0.2297366877
35	0.2248915978
36	0.2207904723
37	0.2164779938
38	0.2116950672
39	0.2076615983
40	0.2036738625
41	0.1999114057
42	0.196636637
43	0.1937845438
44	0.1909546307
45	0.1882154536
46	0.1859088893
47	0.1837360518
48	0.1816366159
49	0.1798696591
50	0.1780029911
51	0.1756854622
52	0.1739186367
53	0.1724372689
54	0.1711333276
55	0.1691217175
56	0.1678914906
57	0.1667419555
58	0.1655360651
59	0.1637797639
60	0.1627586287
61	0.1617819856
62	0.1602045295
63	0.1589363273
64	0.158151344
65	0.1567174969
66	0.1556320682
67	0.1544648364
68	0.1538820547
69	0.1532050527
70	0.152230772
71	0.1514658565
72	0.150111083
73	0.1489369677
74	0.147515792
75	0.146605879
76	0.1460254928
77	0.1451609587
78	0.1445338141
79	0.1437886811
80	0.1423189257
81	0.1417633052
82	0.1409462777
83	0.1400442361
84	0.1392667844
85	0.1381117643
86	0.1376463843
87	0.1367162469
88	0.1355261384
89	0.1349015163
90	0.1340444728
91	0.13348841
92	0.1330031257
93	0.1322973171
94	0.1318536985
95	0.1311470659
96	0.1302906954
97	0.129803993
98	0.1293055529
99	0.128792337
100	0.128501424
101	0.1281397184
102	0.1275739039
103	0.1271026104
104	0.1266402265
105	0.1262576499
106	0.1255470971
107	0.1252795891
108	0.1244893073
109	0.1242103954
110	0.123852434
111	0.1233071684
112	0.1229770206
113	0.1226987994
114	0.1221296216
115	0.1219038847
116	0.121401242
117	0.1209715445
118	0.1206571625
119	0.1201774953
120	0.1197051309
121	0.1194279451
122	0.1188645203
123	0.1184266284
