iter	Passed	Remaining
0	68	68876
1	74	36930
2	78	26134
3	81	20201
4	83	16556
5	87	14418
6	93	13285
7	97	12058
8	102	11319
9	105	10436
10	107	9682
11	114	9390
12	116	8849
13	118	8376
14	122	8053
15	127	7831
16	132	7661
17	134	7358
18	137	7080
19	142	6964
20	144	6737
21	147	6535
22	149	6331
23	152	6206
24	156	6084
25	158	5937
26	160	5795
27	163	5659
28	167	5596
29	170	5499
30	172	5381
31	174	5273
32	177	5195
33	180	5123
34	182	5039
35	184	4949
36	187	4870
37	191	4854
38	195	4810
39	197	4737
40	199	4668
41	202	4629
42	205	4567
43	207	4507
44	210	4456
45	212	4411
46	217	4406
47	220	4382
48	223	4331
49	225	4281
50	228	4255
51	230	4210
52	233	4166
53	235	4133
54	239	4106
55	241	4074
56	244	4038
57	246	3997
58	248	3967
59	250	3931
60	253	3909
61	256	3876
62	258	3846
63	262	3836
64	264	3804
65	268	3798
66	272	3796
67	274	3765
68	277	3742
69	282	3754
70	288	3769
71	290	3747
72	294	3733
73	296	3711
74	298	3684
75	303	3685
76	306	3678
77	312	3693
78	316	3686
79	319	3676
80	322	3664
81	327	3671
82	332	3674
83	338	3685
84	342	3690
85	348	3700
86	354	3717
87	356	3696
88	359	3679
89	361	3659
90	364	3641
91	366	3619
92	368	3596
93	370	3574
94	373	3557
95	375	3536
96	377	3517
97	379	3496
98	382	3481
99	386	3475
100	390	3478
101	393	3461
102	395	3443
103	399	3437
104	403	3438
105	405	3423
106	408	3406
107	410	3390
108	413	3376
109	416	3367
110	418	3352
111	420	3337
112	423	3322
113	426	3311
114	428	3294
115	430	3277
116	433	3270
117	435	3258
118	438	3245
119	440	3230
120	442	3216
121	446	3210
122	450	3213
123	452	3199
124	454	3183
125	457	3172
126	459	3160
127	463	3155
128	465	3143
129	467	3131
130	470	3119
131	472	3109
132	475	3099
133	477	3088
134	480	3075
135	483	3070
136	487	3068
137	490	3064
138	492	3053
139	495	3040
140	499	3040
141	503	3044
142	506	3033
143	508	3024
144	512	3024
145	516	3023
146	519	3015
147	523	3014
148	526	3006
149	528	2994
150	531	2987
151	535	2985
152	538	2982
153	541	2974
154	543	2963
155	547	2962
156	550	2955
157	553	2947
158	555	2936
159	559	2939
160	563	2938
161	568	2938
162	570	2927
163	574	2927
164	578	2930
165	585	2942
166	589	2938
167	592	2934
168	596	2933
169	599	2926
170	602	2922
171	605	2913
172	607	2905
173	611	2903
174	615	2900
175	618	2896
176	620	2886
177	626	2891
178	629	2887
179	633	2883
