,total
0,-1.268996069
1,1.761838984
2,0.357128254
3,1.214447047
4,-1.404755292
5,0.06756284
6,-0.26651115
7,-0.96887491
8,-0.357710676
9,-0.513831732
10,-0.194844013
11,2.016150442
12,-0.918289178
13,0.919684514
14,0.35306672
15,-1.160419742
16,0.884168114
17,2.124190059
18,-1.285596346
19,-1.235285455
20,-0.332988774
21,0.739858322
22,-0.514771317
23,1.171723813
24,-0.764946626
25,0.169589115
26,-0.154389561
27,-0.965173067
28,2.364384743
29,0.182735379
30,-0.4333999
31,0.861644392
32,-0.113870619
33,-1.27188614
34,-0.675580794
35,1.139882316
36,-1.294335271
37,1.546657219
38,-0.557636713
39,1.599319931
40,0.064136903
41,-0.991342017
42,-0.928836943
43,-0.556997849
44,0.712661668
45,-0.568112322
46,-0.237394283
47,0.042012166
48,-0.923406341
49,-0.202748452
50,-0.920471687
51,1.143831533
52,-0.830862492
53,-0.335214632
54,0.336532505
55,-0.921997161
56,-1.213455377
57,1.364375386
58,0.285892067
59,-0.338045521
60,-0.101198856
61,-0.20537304
62,0.409218677
63,-0.008050661
64,-0.521934509
65,0.1445806
66,-0.175480581
67,-0.373551636
68,-1.085043261
69,-0.316618086
70,0.181710624
71,-1.352237111
72,-0.443515327
73,-0.223747309
74,0.599298636
75,0.620200593
76,-0.218073882
77,0.577052742
78,-0.875546879
79,-1.15376376
80,-0.535656669
81,-1.296590779
82,-1.323567236
83,-0.456426602
84,0.147569586
85,-0.837133961
86,-0.499795493
87,0.581081447
88,0.225783809
89,2.047120292
90,0.785391844
91,0.056172328
92,-0.972390785
93,0.633439197
94,0.688436188
95,1.258125249
96,2.115712887
97,0.690115119
98,0.515102706
99,-0.184415854
100,1.845453349
101,-1.268570058
102,-0.65513148
103,-0.971100333
104,1.075076034
105,-0.162595184
106,1.874589926
107,-0.622868051
108,-1.39247417
109,-1.247875972
110,-0.412166815
111,-0.680974566
112,-1.265259262
113,1.224375457
114,1.817233812
115,-1.309683652
116,-0.275839565
117,-0.579623675
118,-0.454899423
119,0.452432496
120,-0.426680283
121,-0.375715042
122,-0.913135114
123,0.864846182
124,-1.316056261
125,2.103979475
126,1.973138417
127,0.710138045
128,-0.601174562
129,0.700692785
130,0.397407876
131,-1.233598328
132,1.371792274
133,-0.788160018
134,0.160850857
135,-1.083835808
136,-0.533693926
137,-0.537561274
138,0.022856875
139,0.598107263
140,0.567829977
141,0.663757432
142,-0.974628354
143,-0.198677674
144,-1.388318664
145,-0.187379041
146,-1.143261645
147,0.166561418
148,0.068844288
149,-0.860282863
150,0.985362047
151,-0.628203629
152,1.323148858
153,-0.270259264
154,0.186575403
155,1.263142153
156,1.493010973
157,0.628517147
158,0.349733858
159,-0.995845635
160,-0.482133032
161,0.490304163
162,0.201017237
163,-1.02161158
164,2.261866534
165,0.777869518
166,-0.324715792
167,0.648404255
168,-0.339322455
169,1.753895269
170,-0.030158019
171,0.7245256
172,1.121574036
173,-0.101222381
174,1.433775711
175,0.435210833
176,-0.934203305
177,-0.692911259
178,-0.524456339
179,0.114523126
180,1.328937519
181,1.69524557
182,0.833388579
183,0.789035314
184,1.100659004
185,-0.050216375
186,0.5129137
187,1.109980876
188,-1.334714997
189,-0.874156458
190,0.094823996
191,-0.14827236
192,0.646787328
193,0.069193775
194,-1.162254999
195,-0.154009018
196,-0.711997049
197,-0.120126208
198,0.437262797
199,2.384786901
200,-1.127678255
201,-1.141531872
202,-0.372330353
203,-0.869564016
204,-0.918098694
205,1.727629427
206,1.889339678
207,0.623547184
208,-0.395667533
209,0.856903585
210,0.712095984
211,-0.554345959
212,-0.056885348
213,-0.3301366
214,-1.273832316
215,0.424274676
216,-0.724545335
217,0.349659537
218,-1.25149432
219,-1.333251575
220,1.297442071
221,1.526799313
222,-1.32050822
223,-0.004976376
224,0.110671333
225,-1.186125518
226,-0.825828868
227,-0.07395495
228,0.132965108
229,-0.947487622
230,2.049051468
231,-0.980371416
232,-0.030007076
233,0.767075659
234,-0.540545096
235,2.515340411
236,0.820949534
237,0.259148245
238,2.354069221
239,1.249331806
240,-1.187233482
241,-1.061285895
242,0.519548204
243,-0.843300989
244,0.395039644
245,-0.438997257
246,1.523966807
247,-1.331592373
248,-1.115368874
249,1.242958549
250,0.608344474
251,1.728371978
252,-0.046345265
253,-0.418194954
254,-0.378106037
255,1.212360096
256,-0.153939487
257,-0.461954953
258,2.546457965
259,-0.945366609
260,1.904332841
261,-1.114193221
262,0.160006712
263,0.017106416
264,0.219116019
265,0.85652111
266,0.781151094
267,1.859042368
268,1.207424358
269,0.376650301
270,-0.511101032
271,-0.529102079
272,-1.126218011
273,0.320021703
274,-1.408969096
275,0.291491752
276,-0.901314118
277,-1.314518649
278,-1.094900266
279,-1.301342689
280,0.857461651
281,2.199152531
282,2.214881788
283,-0.16850053
284,0.028870178
285,0.208496756
286,-0.503654204
287,-1.185317798
288,1.3503334
289,-0.004376213
290,-0.784107607
291,-1.133722574
292,-0.650721281
293,1.31112281
294,-0.822241433
295,0.256028045
296,-0.847066885
297,1.65933791
298,-0.62299522
299,-0.403597561
300,1.183069808
301,-0.125892789
302,-0.844676616
303,-0.88607474
304,-0.041402315
305,0.788681927
306,2.278334614
307,-0.380122155
308,0.156087174
309,1.767604906
310,0.573244451
311,-0.595604563
312,-0.205236131
313,-0.463554453
314,-1.41304403
315,-0.697538892
316,0.927076588
317,-1.079394154
318,0.664941405
319,-0.567467048
320,0.157697856
321,-0.129730357
322,-0.920720638
323,-0.911816824
324,1.011560823
325,-0.301433129
326,-0.479409899
327,0.189645351
328,0.203135455
329,-0.855788115
330,1.020043593
331,1.229845129
332,1.15075095
333,1.227548026
334,-0.605665186
335,-0.349177157
336,0.6279388
337,-0.88518054
338,0.943741541
339,0.822524733
340,-0.245169481
341,-0.71617686
342,-0.123410871
343,-0.619535526
344,-0.870875167
345,0.756741479
346,-0.388775188
347,-0.690989837
348,0.985440076
349,-0.192652123
350,-0.472558649
351,0.374818349
352,0.723907497
353,1.184414985
354,-0.376751876
355,0.061013039
356,1.52073999
357,-0.260227772
358,-1.184333116
359,0.228727328
360,0.283459617
361,1.298759206
362,-0.070319194
363,0.542413747
364,-1.385495426
365,-0.213573792
366,-0.355385634
367,1.313046512
368,1.037379492
369,1.924846768
370,-0.589381898
371,-0.062561256
372,-1.18514501
373,-1.29650034
374,-1.059562083
375,0.061526706
376,0.353540516
377,0.531582446
378,-1.190476972
379,-0.921358038
380,-0.853291117
381,1.133267898
382,2.104510091
383,1.213409929
384,0.625266438
385,2.01139238
386,-0.583986964
387,-0.318790004
388,2.043251702
389,-0.623212553
390,-0.082542484
391,1.368377829
392,0.537015368
393,-1.313363398
394,0.72889692
395,-0.434711576
396,0.049140876
397,-0.91653355
398,-0.240396897
399,1.670936593
400,1.430202709
401,-1.210781753
402,-1.061590684
403,-0.114644769
404,-0.588518979
405,-1.096859545
406,0.249717825
407,-1.127528711
408,-1.056750523
409,-0.737403347
410,-0.566643104
411,-1.289366817
412,2.509622743
413,-0.914914785
414,0.878292421
415,-0.998111283
416,2.293065547
417,1.43251161
418,0.041675155
419,0.560201436
420,-0.896061465
421,1.462757604
422,-1.011974949
423,0.808656017
424,-0.364813202
425,0.82113873
426,1.025944869
427,0.761953043
428,0.148923578
429,-1.332246932
430,0.040770933
431,0.082280818
432,-0.782231634
433,0.329555236
434,0.103229494
435,-0.141214936
436,-0.891932415
437,2.255354168
438,1.293278347
439,0.958688192
440,-0.704034017
441,0.158840535
442,2.342222865
443,0.259520939
444,-1.394980888
445,1.288835315
446,0.832884912
447,0.570229008
448,2.577769439
449,0.866531311
450,0.318055018
451,-1.165937972
452,0.392087091
453,1.48907206
454,2.024315416
455,-1.4191026
456,-0.774791575
457,-0.280154552
458,-1.274750672
459,-1.288034106
460,0.712425396
461,-1.376400963
462,2.17742057
463,0.52654435
464,1.143571199
465,0.769049169
466,-0.7109616
467,1.339192792
468,-1.096067243
469,-1.129411502
470,-1.190411149
471,-0.681789576
472,-0.405906551
473,1.449001228
474,0.556236374
475,-0.831215043
476,-1.187895953
477,-0.406508792
478,-0.793373386
479,0.130050287
480,0.489789857
481,-0.631449719
482,-0.134845972
483,-0.656433505
484,0.613584162
485,-0.892582014
486,0.149613936
487,-1.416585024
488,-0.377775734
489,-0.969197214
490,1.503307807
491,1.232288772
492,-0.615502491
493,1.125158072
494,-1.370347459
495,-0.862705943
496,0.301638736
497,-0.36040458
498,2.048243861
499,-0.27163424
500,-1.32286011
501,0.088273275
502,-0.666549922
503,-0.479854986
504,2.713452439
505,-0.874978882
506,-0.671875504
507,0.518530317
508,-0.839664244
509,1.917816325
510,0.141999528
511,-0.862809052
512,0.465168239
513,-0.207596874
514,-0.152843957
515,0.05827271
516,-0.579096767
517,1.141708516
518,1.586321926
519,-0.937589007
520,-1.001807781
521,0.045529465
522,0.776442697
523,1.254169857
524,0.313019501
525,-1.09225019
526,0.131899576
527,2.219529616
