,total
0,-1.04479089
1,1.748901561
2,0.195195185
3,0.983297855
4,-1.105048368
5,0.594461748
6,-0.630338484
7,-0.781358256
8,-0.668245463
9,-0.214804785
10,-0.37382929
11,1.898639026
12,-0.721698338
13,1.166172031
14,-0.154533089
15,-1.050040628
16,0.317528836
17,1.953603174
18,-1.070963204
19,-1.046594998
20,-0.41706237
21,0.61051363
22,-0.006374737
23,0.695291312
24,-0.83134673
25,1.029792343
26,-0.583852174
27,-0.993398167
28,2.261814631
29,-0.287967591
30,-0.557483819
31,1.196013509
32,-0.326222961
33,-1.082694833
34,-0.763864959
35,0.586711158
36,-1.091684017
37,1.259288401
38,-0.801068238
39,1.151184631
40,-0.379853007
41,-1.010253533
42,-0.963086751
43,-0.549548974
44,0.767446178
45,-0.823816661
46,-0.30846897
47,0.876911849
48,-0.993592523
49,0.090225069
50,-0.335076181
51,0.648475448
52,-0.81913888
53,-0.534989353
54,-0.054610906
55,-0.615753716
56,-1.076071837
57,1.340993048
58,0.262784057
59,0.103622435
60,-0.54742152
61,-0.53376318
62,-0.094004234
63,-0.482725979
64,-0.811583474
65,-0.340181721
66,-0.40439836
67,-0.284562228
68,-1.037583596
69,-0.535706341
70,-0.187434061
71,-1.089415125
72,0.844291796
73,-0.551115271
74,0.235399502
75,0.109290518
76,-0.624487136
77,0.389154148
78,-0.976263019
79,-0.982209337
80,-0.308539061
81,-1.075318346
82,-1.051872148
83,-0.774598367
84,0.34550257
85,-0.926077697
86,-0.376659513
87,0.084667296
88,0.444121968
89,1.760261772
90,0.66875718
91,-0.0168982
92,-1.009452286
93,0.086472148
94,0.469262056
95,1.062062235
96,2.505650647
97,0.644974172
98,0.460390981
99,-0.608882947
100,1.531596906
101,-1.078500293
102,-0.76553351
103,-0.99400173
104,0.945959894
105,-0.538637259
106,1.524551107
107,-0.866906084
108,-1.092845825
109,-1.049891121
110,-0.107441134
111,-0.893341682
112,-1.085022036
113,0.763778163
114,1.428208577
115,-1.089513583
116,0.213861972
117,-0.331268607
118,-0.605812923
119,1.255573251
120,-0.23391365
121,-0.261932187
122,-0.904975032
123,0.286131852
124,-1.094260146
125,1.924110465
126,1.688729575
127,0.537714174
128,-0.645917128
129,1.634702108
130,0.805928223
131,-1.067215771
132,1.534286848
133,-0.513729609
134,0.319904728
135,-0.995175983
136,-0.827313018
137,-0.662479676
138,0.066512503
139,0.111210305
140,0.096885622
141,0.153181029
142,-0.900315477
143,-0.077349738
144,-1.102771654
145,-0.002428408
146,-0.944835515
147,0.275258683
148,-0.407757792
149,-0.853015203
150,0.638205171
151,-0.877426623
152,1.646499837
153,-0.476604216
154,-0.162007592
155,0.907871519
156,1.088341379
157,2.569712296
158,-0.165465408
159,-0.790160088
160,-0.676041374
161,0.210098508
162,-0.301710002
163,-1.014670771
164,2.158574717
165,0.299712777
166,0.347109559
167,0.446898299
168,-0.608896304
169,1.335103008
170,0.016478399
171,1.586817635
172,0.906555839
173,-0.467493811
174,0.950339744
175,-0.034462236
176,-0.991898922
177,-0.811432575
178,-0.381411928
179,-0.298133909
180,0.935031457
181,1.336296717
182,1.093934951
183,0.21689721
184,0.574318654
185,-0.141504145
186,0.669228235
187,0.655346652
188,-1.062089732
189,-0.812288481
190,0.37308943
191,-0.341476167
192,0.232350573
193,0.572595156
194,-0.961458763
195,-0.05003934
196,-0.66450091
197,-0.204231807
198,0.129788203
199,2.27928354
200,-1.056476029
201,-1.029532506
202,-0.656456512
203,-0.941918303
204,-0.991504195
205,1.615614714
206,1.552005906
207,0.2922646
208,-0.582079245
209,0.299379337
210,0.388936815
211,0.511122097
212,-0.345201939
213,-0.702727082
214,-1.062782735
215,0.083455279
216,-0.909704521
217,0.243806695
218,-1.086302003
219,-1.091951703
220,0.854246284
221,1.40235836
222,-1.089801042
223,-0.049160462
224,0.746805926
225,-1.07131281
226,-0.959582207
227,0.052529114
228,-0.29761025
229,-0.960785586
230,1.77530318
231,-0.935973158
232,0.226094355
233,0.297931167
234,-0.763462821
235,2.496347068
236,1.337958549
237,0.388665067
238,2.136339374
239,0.876203835
240,-1.067433501
241,-1.037580595
242,0.370653617
243,-0.917820808
244,-0.129964625
245,-0.482496865
246,1.113723635
247,-1.090399731
248,-1.045543527
249,1.1327834
250,0.76728025
251,2.146647306
252,-0.032248995
253,-0.673263039
254,-0.719024325
255,0.772863183
256,0.149798739
257,-0.382630501
258,2.551197702
259,-0.807140835
260,1.863240596
261,-0.970562504
262,-0.063488157
263,0.339329054
264,0.396574594
265,0.372138792
266,1.013431661
267,2.849683548
268,0.760809059
269,1.416307607
270,0.15821606
271,-0.119732162
272,-1.042249045
273,0.241427718
274,-1.10196539
275,0.403700863
276,-0.961503384
277,-1.095048135
278,-1.028142873
279,-1.093240848
280,0.645176295
281,1.952739795
282,2.168175322
283,0.056440498
284,-0.399171884
285,-0.171711469
286,0.35401247
287,-1.021270041
288,0.82810216
289,-0.30387683
290,-0.930372724
291,-0.966751192
292,-0.489014196
293,0.830023636
294,-0.798645701
295,1.264664332
296,-0.960561713
297,1.400086945
298,-0.854201709
299,-0.176995466
300,0.741523297
301,0.963002267
302,-0.766707267
303,-0.830342506
304,0.084895183
305,0.592220155
306,2.125130653
307,-0.239344462
308,-0.213938096
309,2.002012162
310,0.082378993
311,-0.800698137
312,-0.392960511
313,-0.317366308
314,-1.104983168
315,-0.881196939
316,0.426014429
317,-1.032774982
318,0.399993429
319,-0.637649048
320,-0.267317758
321,-0.480447286
322,-0.578168401
323,-0.673624333
324,0.906302997
325,-0.231974265
326,-0.787041641
327,1.13816584
328,0.420550446
329,-0.907413583
330,0.539719185
331,0.961511165
332,1.168442049
333,1.047339753
334,-0.803841279
335,-0.586799588
336,0.344006815
337,-0.895353789
338,1.337324503
339,0.705067725
340,0.438981666
341,-0.325430895
342,-0.39310145
343,-0.292687658
344,-0.698813296
345,0.269537646
346,-0.75188376
347,-0.499814818
348,0.584077353
349,-0.336195169
350,-0.080575628
351,0.315707592
352,0.458232303
353,0.747101582
354,-0.249186505
355,0.507639891
356,1.498435699
357,-0.577570628
358,-1.006055474
359,1.28993011
360,-0.152772207
361,2.467229151
362,-0.517596538
363,0.172396115
364,-1.094888667
365,-0.304655849
366,-0.050330273
367,1.243266632
368,0.65629754
369,1.625793839
370,-0.628688757
371,0.463598262
372,-0.920880444
373,-1.04129923
374,-0.864454216
375,0.550653881
376,1.584178097
377,0.601969695
378,-1.052626245
379,-0.75248038
380,-0.635363554
381,1.13674544
382,2.009573791
383,0.926273543
384,1.259301039
385,1.818055694
386,-0.523262496
387,-0.122350311
388,1.818000399
389,-0.490430518
390,0.315626343
391,1.008670481
392,0.76933929
393,-1.093608992
394,0.571731548
395,0.333400916
396,0.677501002
397,-0.579490579
398,-0.61521494
399,1.317824234
400,1.734698736
401,-1.074289358
402,-1.039457224
403,0.285257462
404,-0.056441586
405,-1.023451423
406,-0.271639879
407,-1.034845712
408,-0.9368258
409,-0.924294813
410,-0.659873415
411,-1.073219864
412,2.4093265
413,-0.457004653
414,0.353953911
415,-1.016765018
416,2.026621979
417,1.05985699
418,-0.10590787
419,0.262145922
420,-0.626611821
421,1.116605674
422,-0.959908942
423,0.926734617
424,-0.732918421
425,0.349236988
426,0.667934529
427,0.256652684
428,-0.06419742
429,-1.079020894
430,1.090722792
431,0.020436778
432,-0.46279865
433,0.71883147
434,0.534247465
435,0.379794385
436,-0.982498755
437,2.241720656
438,0.844670748
439,0.640805089
440,-0.572138523
441,-0.262707281
442,2.203968498
443,-0.165362668
444,-1.104777219
445,2.211722062
446,0.559898985
447,0.545274598
448,2.563223406
449,0.891662844
450,0.687824312
451,-1.064115946
452,0.261586543
453,0.993404046
454,2.077227282
455,-1.105754339
456,-0.926711365
457,-0.491019845
458,-1.068952454
459,-1.091466605
460,0.818486567
461,-1.101896248
462,1.92016417
463,0.015239702
464,0.982715748
465,2.292062626
466,0.007586832
467,1.209987546
468,-1.047887127
469,-1.046034026
470,-1.07331835
471,-0.216399478
472,-0.28617741
473,1.540649981
474,0.157412573
475,-0.383530553
476,-1.072288131
477,-0.758368399
478,-0.755062477
479,-0.249559252
480,0.025509698
481,-0.545546968
482,-0.418427137
483,-0.867197357
484,1.454396859
485,-0.714622455
486,0.636875158
487,-1.105664265
488,-0.712010424
489,-0.999603082
490,1.070518637
491,0.75788071
492,-0.746926306
493,1.070453953
494,-1.088205144
