,total
0,-0.943790056
1,-1.070724296
2,-0.583399558
3,-0.17631162
4,1.278177719
5,1.522238301
6,-0.345267291
7,-0.709255798
8,-0.800216177
9,-0.775244248
10,1.596340835
11,-0.342004541
12,-0.837556919
13,-0.488697186
14,0.231860062
15,1.10882193
16,0.795576565
17,2.442390057
18,-0.116643391
19,2.180032084
20,-1.234261443
21,0.767786569
22,-0.418432093
23,0.20686581
24,-0.347639025
25,-0.45565647
26,-0.918969705
27,0.369690186
28,1.13613612
29,-0.721799442
30,-1.12910395
31,-0.633959616
32,-0.617467508
33,-0.760788225
34,0.606035148
35,-0.338659624
36,-0.202622895
37,-1.103937284
38,-0.98227953
39,1.967700484
40,-1.088881253
41,1.283614469
42,0.896128532
43,-0.479480599
44,-1.072796557
45,-0.697494929
46,-0.574148835
47,-0.396641113
48,0.132570216
49,-0.034633696
50,-0.362506016
51,0.886242771
52,-0.816907217
53,1.256123452
54,-1.229422288
55,-1.099714888
56,-0.880736143
57,-0.655451416
58,0.129977759
59,-1.162808199
60,-0.840881173
61,-0.66395643
62,0.070962182
63,0.799030005
64,2.132267728
65,1.42705727
66,-1.00345232
67,-0.765295823
68,0.086179038
69,2.279989671
70,-0.994832617
71,-0.420390301
72,-0.674435392
73,-1.162414891
74,1.810450618
75,-0.877757365
76,-1.230567413
77,-1.400413218
78,1.09107016
79,0.391180319
80,-0.358962644
81,0.262446566
82,-0.714921215
83,-1.147022773
84,-0.147161549
85,-0.501781213
86,-0.401791153
87,2.402998342
88,0.821504573
89,-0.604555542
90,1.712629238
91,0.883679666
92,1.28079629
93,-0.376698469
94,-1.066021239
95,0.909962356
96,-0.379339182
97,-1.144413696
98,-1.151110906
99,0.079302397
100,-0.78253946
101,-0.65391317
102,2.853241662
103,0.664834402
104,1.647675877
105,-0.695885513
106,-1.283633384
107,0.601928567
108,-0.782667314
109,0.703546423
110,0.3372073
111,-0.359537628
112,-0.036855565
113,-1.014423273
114,0.904572051
115,0.334344467
116,-0.078923094
117,-0.945032503
118,0.184642882
119,-0.463665306
120,-0.113511756
121,-1.010698184
122,1.070261891
123,-0.036634506
124,0.822441245
125,-0.924187552
126,0.390087895
127,-0.578289021
128,0.222944501
129,1.121481621
130,1.150190933
131,2.09480596
132,-0.25945954
133,-0.377671784
134,2.207931875
135,0.141152482
136,-0.910976138
137,0.416786146
138,0.101989664
139,-1.384734384
140,0.289385891
141,-0.659177577
142,0.03312095
143,0.293907843
144,-0.413504273
145,-0.494321462
146,-0.799656724
147,-0.690017351
148,-1.316610969
149,0.926763457
150,1.809506389
151,0.977149637
152,-1.049870711
153,1.40631912
154,1.401606995
155,1.019203018
156,1.159953374
157,0.007918138
158,-0.883989079
159,-0.750477289
160,0.479817988
161,-0.413518568
162,-0.57536416
163,0.418917684
164,0.906416642
165,-0.713822433
166,0.516303998
167,2.385272808
168,-0.546188905
169,0.489453607
170,-0.064327003
171,-0.438508599
172,-0.26038826
173,-0.7759734
174,-0.481202666
175,-0.900056091
176,-0.706160744
177,0.516275273
178,-0.480642875
179,1.145066978
180,1.857009164
181,-0.764651628
182,1.042066355
183,-0.663150976
184,-1.117939714
185,0.786420379
186,-1.300806005
187,-1.093764714
188,0.042025744
189,0.513566694
190,-0.846413475
191,1.553572945
192,-1.094050028
193,-1.115556494
194,1.466973443
195,-0.359421373
196,-0.882080882
197,1.060125754
198,0.363723639
199,0.007452367
200,1.332880829
201,1.74661989
202,-1.255998168
203,0.598609246
204,1.228065295
205,-0.566421671
206,0.007163098
207,-0.764503817
208,0.77689876
209,-1.139221154
210,-1.221764847
211,-0.978342014
212,0.572193094
213,-0.518363929
214,-0.817508188
215,-0.931699427
216,1.616794451
217,0.536169852
218,-1.076662443
219,-1.082477592
220,0.452722091
221,0.583411926
222,0.71573942
223,0.728978547
224,0.963427844
225,0.293585047
226,-0.631600715
227,-0.043085477
228,-0.698155607
229,0.274161783
230,-0.211889584
231,0.570155292
232,-1.283740574
233,1.067092629
234,0.181864262
235,-1.236699111
236,1.157589563
237,1.322320276
238,0.442257029
239,0.69110831
240,-0.531237637
241,-1.029745531
242,-0.018972053
243,-1.383817477
244,-0.837741601
245,1.29797046
246,-0.987189538
247,-0.311324303
248,-0.668530925
249,1.653953714
250,-0.500787327
251,0.586242498
252,0.853815023
253,-1.016132224
254,-0.038913538
255,-1.244606941
256,0.035030665
257,2.412411381
258,-1.219870958
259,0.89108906
260,-1.014450438
261,-0.370112512
262,-0.961010023
263,1.139791954
264,-1.094082479
265,-0.890175548
266,0.955646225
267,3.008601276
268,-0.160346451
269,-1.302012345
270,0.14082669
271,0.62889021
272,-0.05052316
273,-0.659672078
274,-0.450270472
275,-1.089388072
276,-0.209013569
277,0.055016045
278,1.915088093
279,-0.905630772
280,-0.003803279
281,-0.191203831
282,0.278952176
283,-0.40627572
284,0.365703112
285,-0.337088967
286,2.064030943
287,-0.80431773
288,-1.105655843
289,-0.507306442
290,1.688311251
291,-1.288047961
292,1.984634965
293,-0.525511699
294,-0.555429277
295,-1.076204155
296,1.608213688
297,-0.262360662
298,2.715389783
299,-0.858776257
300,-0.573264751
301,-0.477341468
302,2.695342549
303,0.865609221
304,0.806201865
305,-1.082964725
306,-0.586157443
307,-0.672005667
308,0.352984711
309,0.390509487
310,-0.611852944
311,1.164162452
312,-0.318831832
313,-1.247871908
314,1.713379542
315,1.09164476
316,-1.054520562
317,1.156192977
318,-0.882210727
319,2.038862549
320,-0.834220381
321,-1.11260132
322,-0.759178453
323,-0.694337777
324,2.169016693
325,-0.777881098
326,0.740966674
327,-0.922464941
328,-1.174081328
329,-0.220630137
330,0.73860699
331,2.68082506
332,0.256372119
333,-0.626813709
334,-0.601757861
335,-0.433705067
336,-1.128164239
337,0.523499773
338,-1.331929405
339,-0.375195132
340,0.873570176
341,-0.520684569
342,-0.64640728
343,-0.415298443
344,-0.777683548
345,-0.844671755
346,1.53317814
347,0.454036316
348,2.484483486
349,0.164708014
350,-0.050893484
351,-0.758732904
352,-0.791216952
353,-1.135181328
354,0.17137432
355,-0.394226558
356,-0.231570504
357,-0.115481147
358,-0.264201851
359,-0.812396506
360,0.487683309
361,0.931479645
362,-1.292082663
363,0.16055087
364,-1.394423524
365,-0.808712617
366,2.719137548
367,-0.56363998
368,-0.845349987
369,0.382050291
370,-1.22544781
371,-1.145245307
372,1.628856552
373,-1.071733654
374,0.09638719
375,-1.310832658
376,-0.158936979
377,-0.146846866
378,0.038204163
379,-1.259073839
380,-0.957146261
381,0.024130891
382,0.092046234
383,-0.709557997
384,-1.282716855
385,-1.333575032
386,0.404204186
387,0.166059322
388,-1.258092438
389,0.814282107
390,-0.263504874
391,3.069089804
392,-0.913786366
393,-0.333880787
394,1.379131045
395,0.384504518
396,0.555722687
397,1.915303941
398,-0.670808226
399,0.493073608
400,-0.13684185
401,0.24216936
402,-0.930819397
403,-0.406104805
404,-1.352810306
405,0.788115591
406,0.650585155
407,0.927466023
408,0.351012627
409,-1.091090369
410,-1.122306147
411,-0.463982554
412,0.165726509
413,-0.388261277
414,-0.376113921
415,-0.402122706
416,2.676152039
417,-1.40271288
418,-0.489064017
419,-1.066732128
420,1.270662786
421,-0.581783961
422,-1.373281401
423,0.820654936
424,-0.074816664
425,0.077172867
426,-0.048459378
427,0.493984283
428,0.310501561
429,-0.107547055
430,0.611359669
431,-0.532309959
432,-0.755974193
433,0.14128384
