,total
0,-0.910333588
1,-0.900916788
2,-0.852559417
3,0.668039817
4,0.911254487
5,1.418595957
6,-0.590040959
7,-0.760554298
8,-0.702683228
9,-0.875773879
10,1.477431197
11,-0.487096952
12,-0.901136255
13,-0.759471289
14,-0.301472035
15,0.598738049
16,0.25436293
17,2.443216446
18,0.15080999
19,2.047736649
20,-1.072526588
21,0.686888904
22,-0.722935614
23,-0.320938404
24,0.046660197
25,-0.667081107
26,-1.01469984
27,0.033396108
28,0.574487904
29,-0.736276068
30,-0.91685838
31,-0.85458685
32,-0.770866311
33,-0.931037697
34,0.159936924
35,-0.252139292
36,0.679276208
37,-1.067170352
38,-1.014022275
39,1.498764265
40,-1.049569438
41,1.887408953
42,0.837303522
43,0.023711403
44,-1.060720001
45,-0.910279863
46,-0.396797921
47,-0.367502808
48,0.654694468
49,-0.480056818
50,-0.15660035
51,0.408405103
52,-0.935118264
53,0.831223293
54,-1.062796145
55,-1.054709711
56,-0.477292545
57,-0.228372402
58,-0.22474393
59,-0.943810843
60,-0.988637785
61,-0.636190219
62,-0.460542024
63,0.966205825
64,2.023117284
65,1.281420168
66,-0.861091108
67,-0.951208965
68,-0.460650406
69,1.998752506
70,-1.031961018
71,-0.612978361
72,-0.676602763
73,-1.063425795
74,1.342852698
75,-0.940310067
76,-1.010094537
77,-1.116982025
78,0.757446202
79,-0.166353423
80,-0.501981574
81,0.288942237
82,-0.473020868
83,-0.978727985
84,-0.47430446
85,-0.122366157
86,-0.119798457
87,2.264532351
88,0.583004257
89,-0.457933856
90,1.409858939
91,0.323656456
92,0.953518605
93,-0.63352758
94,-1.011858646
95,0.615765119
96,0.187425126
97,-1.064388617
98,-0.962712475
99,0.773019526
100,-0.323614018
101,-0.329398548
102,2.802363873
103,0.236001475
104,1.587396552
105,-0.764635842
106,-1.050920276
107,0.075368374
108,-0.661338321
109,0.185838173
110,0.371528705
111,-0.758311636
112,1.578422125
113,-1.007522066
114,1.280407191
115,-0.170109852
116,-0.326963386
117,-0.754126959
118,0.808723507
119,-0.209247546
120,0.017324748
121,-1.015558216
122,1.13058188
123,-0.5148967
124,0.459392548
125,-0.857555404
126,0.836890501
127,-0.281458335
128,0.605836201
129,0.825254349
130,0.540828501
131,1.933135505
132,-0.170210484
133,-0.51271677
134,2.02472809
135,0.277653425
136,-1.004297807
137,-0.18424627
138,0.289589235
139,-1.110564438
140,-0.146499008
141,-0.842573242
142,-0.476151823
143,0.336105982
144,-0.719592574
145,-0.832162943
146,-0.247203465
147,-0.429763856
148,-1.076475298
149,0.674009837
150,2.001542105
151,0.551028633
152,-0.902200312
153,0.856133849
154,1.442922747
155,0.521258226
156,1.55470213
157,0.060472515
158,-0.831648538
159,-0.911991471
160,0.611061188
161,-0.569584797
162,-0.555831496
163,0.631739013
164,0.433720381
165,-0.498473389
166,0.154971919
167,2.212316506
168,-0.252582196
169,0.913275036
170,1.350043312
171,-0.620847565
172,-0.133163896
173,-0.847048266
174,-0.558621543
175,-0.739608684
176,-0.213865653
177,0.507335138
178,-0.8171755
179,1.473645666
180,1.814544874
181,-0.910108642
182,0.846903047
183,-0.893749396
184,-1.0462025
185,0.514086418
186,-1.102326295
187,-0.772640765
188,-0.060633814
189,0.117360048
190,-0.963773968
191,1.006656166
192,-0.99957603
193,-1.049165194
194,0.996646198
195,-0.660489548
196,-0.655321488
197,0.969601262
198,0.111375748
199,0.14419663
200,1.46339632
201,1.626730358
202,-1.095901381
203,0.287184628
204,1.369950472
205,-0.137901465
206,-0.337487437
207,-0.528211976
208,0.231248822
209,-0.998128281
210,-1.086102689
211,-0.898156702
212,0.346020362
213,-0.557732368
214,-0.881498642
215,-0.922032202
216,1.434483966
217,2.153116023
218,-1.036604889
219,-0.980349375
220,-0.035695817
221,0.091787716
222,0.458540715
223,0.87618293
224,0.699895376
225,-0.274121189
226,-0.837389322
227,0.136693549
228,-0.907749114
229,0.028154542
230,-0.581083295
231,1.058423595
232,-1.074637555
233,0.588354199
234,1.136642456
235,-1.087953387
236,3.35229221
237,0.967051049
238,0.291922323
239,0.297535461
240,-0.820829388
241,-1.026892364
242,-0.55333591
243,-1.114677026
244,-0.978246649
245,1.083753847
246,-0.934548227
247,0.002328063
248,-0.915940249
249,1.303243329
250,-0.794230412
