,total
0,-1.11395336
1,-0.097837648
2,0.526462182
3,1.652692979
4,-0.759192681
5,1.397580687
6,0.601950091
7,-0.546533792
8,-1.360985504
9,-0.343700866
10,-0.549021495
11,2.176639401
12,0.497799159
13,0.331557661
14,-1.077426819
15,0.44102869
16,0.960768076
17,1.417329193
18,1.738652105
19,-1.366286783
20,1.071181651
21,-0.497580267
22,0.764952175
23,-1.206980917
24,-0.318455028
25,-1.132730804
26,0.439204602
27,-0.530538346
28,-0.771546088
29,1.970057743
30,1.981929672
31,1.087789468
32,1.415356333
33,0.046411558
34,-1.412596307
35,0.277307554
36,-0.508904414
37,-0.460492819
38,-0.799423977
39,1.233222263
40,0.573062467
41,0.788511304
42,0.391353983
43,0.435461697
44,1.802375555
45,0.168318885
46,-1.01612576
47,1.269781853
48,-1.205174105
49,-1.196806553
50,-0.486022654
51,1.814957533
52,-1.294869023
53,-0.094862592
54,-0.691112405
55,-0.232737533
56,1.502813809
57,1.410062024
58,-0.566149905
59,0.63969029
60,1.432936523
61,0.908607201
62,0.646814178
63,1.02488168
64,-0.934281233
65,2.036728756
66,-1.337138283
67,-0.33560038
68,2.139109034
69,-1.078990853
70,2.092885711
71,-1.059296099
72,-1.25172489
73,-0.751903367
74,0.419289864
75,-1.26744858
76,0.275038822
77,-0.925783426
78,-0.785518246
79,0.663375957
80,-0.690995412
81,-0.230871169
82,0.836704268
83,1.917281406
84,0.233246587
85,-0.028705006
86,-0.739790709
87,1.728997912
88,-0.146442271
89,-0.874148722
90,-1.179368175
91,0.276017153
92,1.676901944
93,0.541881967
94,-0.504274812
95,-0.353524061
96,-1.425476254
97,-1.27325787
98,-0.182319772
99,-0.019161563
100,-0.429081602
101,-0.38737312
102,-0.497180847
103,0.203941329
104,-0.774107543
105,-1.266035002
106,-0.625602317
107,0.747710018
108,-1.216500962
109,-0.603784127
110,-1.113805664
111,-0.563040133
112,1.06538174
113,-0.335864929
114,-1.417176576
115,-1.432392866
116,-0.208807574
117,-1.097908714
118,-0.96848049
119,-1.245550901
120,-1.041391275
121,0.281001634
122,-0.298701373
123,-1.162302755
124,-0.81699793
125,0.565959136
126,-0.834606131
127,-0.895801453
128,-1.281746583
129,1.460166007
130,1.685670769
131,-0.626158721
132,1.227737631
133,-0.259000197
134,0.839595658
135,0.848627888
136,0.267223105
137,1.393011745
138,-0.710003121
139,-1.111482944
140,-0.857520095
141,-0.926364621
142,-0.248430401
143,0.422526
144,-0.400471091
145,0.383377083
146,0.533363222
147,0.375372118
148,-0.954346127
149,2.362921797
150,-0.244795199
151,-0.934186687
152,2.094905355
153,-0.97924945
154,-0.30937079
155,0.407475234
156,1.750615059
157,-1.21108613
158,0.523484182
159,0.977493156
160,-0.682792784
161,-0.994494868
162,-0.280455114
163,-1.114428489
164,1.457794563
165,-0.977827019
166,-0.751281578
167,-0.283092552
168,-0.613779807
169,-0.199309051
170,0.653316352
171,1.488303569
172,0.472934685
173,0.270801667
174,-0.866198423
175,-1.281781206
176,-1.14542247
177,-0.147255243
178,0.306183976
179,0.006056608
180,-1.428033033
181,-0.918003829
182,0.864732598
183,-0.861872043
184,-0.636243776
185,-0.727612745
186,-0.892874162
187,-1.037462337
188,0.103317758
189,-0.396233597
190,-1.247841916
191,1.198459855
192,-0.161464891
193,0.19322001
194,2.063877269
195,-0.440487661
196,-0.100802376
197,0.321294629
198,-0.373383117
199,-0.226973962
200,-0.258302473
201,-0.565198825
202,0.826825923
203,-0.641069317
204,-0.453826098
205,0.055889464
206,0.24040049
207,-0.421693791
208,0.202777516
209,0.292735896
210,0.199077996
211,1.469402172
212,-0.752300466
213,-1.224748139
214,2.298434092
215,-0.309496932
216,1.271236834
217,-1.020272531
218,-0.013012692
219,0.180509354
220,-0.399814041
221,-0.130568731
222,-0.175736199
223,-1.119751901
224,1.507194837
225,-0.564723076
226,1.849407185
227,-0.255829034
228,-1.324208093
229,-1.275739577
230,-1.263893035
231,2.048956338
232,-1.006344843
233,1.038234133
234,0.761729563
235,-1.11725394
236,-0.322387819
237,0.335536317
238,0.278039635
239,-0.343203408
240,0.184764059
241,0.279834167
242,0.650414386
243,-1.039850736
244,1.44706234
245,0.568256634
246,-0.431064402
247,1.380211939
248,2.015010937
249,1.444677148
250,0.184671366
251,0.239436506
252,-1.358200523
253,0.09761632
254,-1.16090419
255,-1.372158956
256,0.911512325
257,1.491053487
258,1.137248971
259,-1.115246508
260,-0.901738589
261,0.783368176
262,-0.206859607
263,-0.042042837
264,-0.405739718
265,-1.174430259
266,-0.408919122
267,1.292679571
268,0.297797057
269,-0.468222384
270,-0.746657453
271,-0.811682796
272,1.492240539
273,-0.41652615
274,-1.031203189
275,1.883071187
276,-0.577419109
277,0.40473405
278,-0.831863323
279,-0.18857213
280,2.42841265
281,-0.290508786
282,-1.053571321
283,0.187068957
284,-0.398810246
285,-1.332433438
286,-1.403864336
287,-0.66754986
288,0.503889112
289,0.567355382
290,1.034827564
291,-1.451324166
292,0.524139471
293,-0.872855537
294,-0.439132425
295,-0.340559325
296,1.134896086
297,0.038075497
298,0.129471323
299,-1.016675306
300,-0.096312733
301,0.533359321
302,0.731768923
303,-0.299395431
304,0.496611658
305,0.174420202
306,1.077520167
307,-0.623949641
308,0.437000681
309,-0.168152538
310,-0.89461356
311,0.076743507
312,-0.493010519
313,-1.44200591
314,-1.013783191
315,1.114615264
316,1.298778879
317,-0.564070493
318,0.443769049
319,-1.166490564
320,-1.202772954
321,-1.140658836
322,1.030986166
323,-0.793148066
324,-0.605382105
325,0.06413063
326,-0.519155797
327,-0.189811587
328,-1.163598476
329,1.601252768
330,-0.243960929
331,-1.012815701
332,-1.132231962
333,1.09557772
334,1.706172572
335,1.272511323
336,-1.283158028
337,0.104753557
338,-1.414767319
339,0.126899632
340,-0.331730807
341,0.031544711
342,-0.41304865
343,1.1731752
344,-1.044561934
345,0.852105206
346,0.216315044
347,0.178207115
348,-0.967671107
349,-1.146262715
350,-1.092931084
351,-1.404493609
352,-0.491974273
353,-1.183652476
354,0.683516598
355,-0.117344768
356,-1.331124991
357,1.682189131
358,0.851494383
359,-0.496068594
360,0.169305733
361,2.354871992
362,0.141497209
363,1.773548808
364,-0.354800742
365,0.580848786
366,1.304524538
367,0.336837641
368,-0.129271929
369,0.570792213
370,0.747437208
371,0.349113913
372,1.931561074
373,-1.434136647
374,0.128391965
375,-0.936190905
376,-0.11221137
377,2.026322397
378,-0.449254467
379,-0.060204836
380,-1.171040437
381,1.385190707
382,-1.292547699
383,0.143635179
384,-0.588940608
385,-0.058139858
386,-0.694752466
387,2.472058307
388,0.663616179
389,0.215357061
390,-1.309177696
391,-1.093284064
392,-0.173854975
393,-0.905471475
394,-1.209737456
395,1.79193739
396,0.347317508
397,-0.937763181
398,-0.941139046
399,2.260113999
400,-0.494693869
401,-0.825876877
402,-0.262173485
403,-1.21295891
404,0.632902921
405,0.808958475
406,1.394594591
407,0.215074565
408,-0.221153711
409,1.617687629
410,-1.161275982
411,1.136314047
412,-0.853444603
413,-0.973682828
414,-0.404352993
415,0.67031623
416,0.246475765
417,-1.257184391
418,0.624554251
419,-0.459137528
420,2.310695834
421,0.768871276
422,-0.788230875
423,-0.662520431
424,-0.719991904
425,1.653729891
426,0.591946671
427,1.187559179
428,0.347956037
429,-0.001889731
430,1.635778632
431,0.760711293
432,0.04510433
433,-1.274794823
434,0.263974261
435,-1.076252351
436,-0.979414239
437,-0.444190833
438,-0.549415166
439,2.265299376
440,0.20542553
441,0.159022411
442,-0.961881372
443,-0.965293758
444,0.627189807
445,-0.502071609
446,-0.309283805
447,1.578376225
448,1.819802178
449,-1.264424811
450,0.948593451
451,-1.302424195
452,1.378138098
453,0.986973831
454,-1.415583527
455,-1.008654835
456,1.425516919
457,0.694970123
458,-0.472105968
459,-0.323549388
460,-1.178786499
461,-1.429286468
462,-0.308447278
463,-0.536758025
464,-0.862810276
465,0.864175485
466,1.426241648
467,-0.818619705
468,-0.015681394
469,1.223815224
470,0.084144098
471,-0.774492914
472,-0.607448321
473,0.42254622
474,-0.147387154
475,1.17194008
476,1.767880286
477,0.677289162
478,-0.065044966
479,-1.020649109
480,0.043444168
481,2.724867612
482,1.601106012
483,1.70148103
484,-0.743591067
485,0.55247956
486,0.172850778
487,-1.213667752
488,-0.605639288
489,1.36862639
490,-0.454195148
491,-0.293559787
492,-0.3102322
493,1.311320583
494,-0.247980894
495,1.041495643
496,-0.042312903
497,-0.868406491
498,-0.68694375
499,0.011007311
500,-0.970411953
501,-0.05420795
502,0.647013716
503,-1.396007676
504,-1.167225573
505,-0.930149025
506,-1.262447021
507,2.533990378
508,0.080070267
509,0.456456562
510,-1.17744493
511,-0.998715731
512,0.096292644
513,-0.124354951
514,1.146343842
515,-0.676730507
516,0.147620344
517,-0.277655413
518,1.635637192
519,-1.208798704
520,-0.178563881
521,-0.639102449
522,-1.429058014
523,-0.450246927
524,-0.967239635
525,0.274921486
526,0.98523898
527,-0.216677188
528,0.479719848
529,-0.477407938
530,0.48628485
531,-1.093002016
532,2.133128044
533,-1.135163304
534,-1.348782272
535,1.096985797
536,1.718392275
537,0.500161853
538,-0.754208398
539,0.372375187
540,-1.148525809
541,0.510984595
542,-0.232158452
543,-0.481488838
544,1.227876008
545,-0.546176373
546,-1.398669295
547,-1.154924572
548,1.849272641
549,-1.265911472
550,-1.28045636
551,-1.372054665
552,-0.581141468
553,1.852744882
554,0.278492577
555,-0.940368833
556,-0.180976112
557,0.639825973
558,-1.340815189
559,1.126001334
560,0.651563812
561,1.525611103
562,-1.367141233
563,-0.235275489
564,-0.179235725
565,0.476410869
566,0.646418674
567,-0.395327675
568,-0.144334238
569,-1.025620518
570,2.581487148
571,-0.249215575
572,0.711692424
573,0.637147851
574,-0.746629967
575,-0.705495621
576,0.663411305
577,0.910775544
578,0.533212019
579,-1.380473541
580,0.197151791
581,0.933818193
582,-0.905677899
583,-0.838747839
584,-0.644869442
585,1.564287372
586,-0.980863923
587,1.485636132
588,2.135910842
589,1.056207821
590,0.793371292
591,-0.225947211
592,0.324696622
593,-0.066897765
594,-0.339944911
595,0.170390806
596,-1.332922571
597,-0.595892299
598,-0.232235692
599,-1.390713147
600,-0.45492617
601,0.415164033
602,0.226852035
603,-0.936784329
604,0.783547866
605,-0.272372924
606,-0.47691942
607,1.500700277
608,2.174931386
609,1.221234239
610,2.245192873
611,0.394513576
612,1.250322772
613,-0.36044072
614,0.781489193
615,-0.777407812
616,-1.065286199
617,0.327348903
618,0.551521864
619,-1.147583458
620,-1.082330007
621,-0.252347052
622,0.200265297
623,1.319806557
624,-1.30332109
625,-1.281441436
626,1.073313318
627,-0.252632718
628,2.001390439
629,-1.304875827
630,0.083238417
631,-0.615803442
632,-0.453437611
633,0.647686893
634,-1.347370129
635,-0.632637137
636,-1.356202902
637,1.529378748
638,-1.014617098
639,-1.176358563
640,1.350521736
641,-0.753292391
642,-1.072656391
643,-0.780826816
644,1.983701883
645,-0.82237103
