,total
0,-0.931599023
1,0.196235008
2,0.061679737
3,2.387066796
4,-0.32216571
5,0.989428072
6,0.759288458
7,0.086194477
8,-1.108160328
9,-0.278044502
10,-0.840127889
11,3.290944088
12,0.045857486
13,-0.111421131
14,-1.051380867
15,0.377645028
16,0.471564272
17,0.988373321
18,1.346010785
19,-1.116231131
20,0.508325376
21,-0.454449044
22,0.264404424
23,-1.083887734
24,-0.466644123
25,-0.939894075
26,1.642380638
27,-0.770833199
28,-0.365620158
29,1.57931847
30,1.631555864
31,2.240979333
32,1.108381529
33,-0.29923318
34,-1.120591784
35,-0.234534314
36,-0.409996521
37,-0.725152603
38,-0.949796094
39,0.917054236
40,0.798729817
41,0.223610481
42,-0.027784892
43,-0.004726988
44,1.431454989
45,-0.000824061
46,-0.989787237
47,0.965078643
48,-1.087342439
49,-1.07711007
50,-0.170861492
51,1.506660686
52,-1.08797021
53,0.42665571
54,-0.897820764
55,0.550818529
56,1.468741004
57,0.905555856
58,-0.707422184
59,0.563539547
60,1.052320756
61,0.359436458
62,0.485252171
63,1.988403454
64,-0.488224351
65,1.81114396
66,-1.074922194
67,-0.655017994
68,2.108289753
69,-1.048257146
70,3.153505561
71,-1.047337446
72,-1.081734798
73,-0.713941498
74,-0.052925321
75,-1.081501954
76,-0.209170314
77,-0.981527966
78,-0.925788329
79,1.276360656
80,-0.835995912
81,-0.620288899
82,0.244727107
83,1.591491096
84,0.123383753
85,1.178962713
86,-0.884288713
87,1.377186455
88,0.788328818
89,-0.660198731
90,-1.041264975
91,-0.187217427
92,1.371538463
93,0.04913191
94,-0.770284081
95,-0.276198464
96,-1.122298952
97,-1.101920052
98,-0.381828203
99,-0.44934255
100,-0.668281486
101,-0.652497233
102,-0.767999998
103,0.086322193
104,-0.940975275
105,-1.088362766
106,-0.884553569
107,2.083256527
108,-1.085526625
109,-0.47118219
110,-1.055127404
111,-0.811905785
112,0.711681502
113,-0.357320521
114,-1.12175767
115,-1.116722505
116,0.067017226
117,-1.051920138
118,-0.970931208
119,-1.042343514
120,-0.974963678
121,0.912902018
122,-0.610791469
123,-1.066741916
124,-0.896166107
125,1.342666217
126,-0.959787632
127,-0.937635273
128,-1.096073435
129,1.174720902
130,1.265667676
131,-0.668644647
132,1.081435675
133,0.018891947
134,0.397540033
135,1.191329735
136,0.51881099
137,1.482021944
138,-0.901129225
139,-0.967026889
140,-0.981456498
141,-0.781810808
142,-0.401070462
143,-0.114869796
144,-0.756757881
145,0.190382266
146,0.379035601
147,-0.136741556
148,-0.960965086
149,2.196476338
150,-0.402563877
151,-0.542998195
152,1.863958967
153,-0.870353044
154,-0.206753158
155,0.069143816
156,1.332685236
157,-1.088075782
158,0.410141765
159,0.495416075
160,-0.78572287
161,-0.584175848
162,0.086788976
163,-0.972573876
164,1.334227597
165,-0.999060054
166,-0.596738759
167,-0.104972841
168,-0.536538171
169,-0.563907109
170,0.76933004
171,1.039066314
172,0.248763852
173,-0.045615799
174,-0.850367732
175,-1.085207575
176,-1.063756304
177,-0.432968769
178,-0.192684472
179,-0.264489139
180,-1.115990042
181,-0.935673283
182,1.882707067
183,-0.849595617
184,-0.884554794
185,-0.927951823
186,-0.941953526
187,-1.038647644
188,0.299685773
189,-0.750773494
190,-0.972310251
191,0.684287406
192,0.524952758
193,-0.228336841
194,1.784408566
195,-0.47811293
196,-0.518456847
197,-0.018099577
198,-0.239084914
199,0.117772348
200,-0.607850323
201,-0.814807031
202,0.668811125
203,-0.887545883
204,-0.201313972
205,0.55635193
206,1.123463725
207,-0.755988166
208,-0.242367332
209,0.449583293
210,-0.13823232
211,1.049346726
212,-0.938287175
213,-0.968590696
214,2.140209371
215,-0.691350834
216,1.039126575
217,-0.880468568
218,-0.432699687
219,-0.3157441
220,-0.440700147
221,-0.274257263
222,0.819158055
223,-0.827177433
224,1.778543161
225,-0.720998157
226,1.540361798
227,-0.178549952
228,-1.100109671
229,-1.100885843
230,-1.086692858
231,1.675645595
232,-0.998832014
233,0.695870787
234,0.397527865
235,-1.046854361
236,-0.66158336
237,0.007262819
238,-0.132689859
239,-0.259866617
240,0.45360588
241,-0.159292504
242,1.126303974
243,-1.040009348
244,1.051234204
245,0.150066542
246,-0.150486086
247,1.255829164
248,1.771601871
249,1.254477729
250,0.670312442
251,0.28265371
252,-1.113409282
253,-0.350451866
254,-1.070918501
255,-1.109752402
256,0.75366755
257,2.413413424
258,0.737911109
259,-1.058657166
260,-0.958320993
261,0.350440522
262,-0.516291933
263,-0.390824928
264,-0.483869236
265,-1.048262417
266,-0.522803937
267,1.303560168
268,0.700975107
269,-0.703472605
270,-0.927492261
271,-0.96096057
272,1.238356419
273,-0.692148015
274,-1.008526857
275,1.614349174
276,-0.55285871
277,0.185975564
278,-0.927440665
279,-0.537859908
280,2.314663534
281,-0.619732028
282,-1.015408392
283,0.417029734
284,-0.082799617
285,-1.102639733
286,-1.112746415
287,-0.838223601
288,0.55639012
289,1.068317452
290,1.473453243
291,-1.122843264
292,0.089663354
293,-0.402002525
294,-0.435256157
295,0.001347674
296,1.109985337
297,0.038821873
298,1.168048027
299,-0.880713452
300,1.01250423
301,1.087379681
302,0.328220507
303,-0.456023185
304,2.108908264
305,-0.202429611
306,0.563001396
307,-0.55209357
308,2.120702247
309,-0.384948012
310,-0.944522982
311,-0.180062234
312,-0.55643693
313,-1.123189291
314,-0.92975684
315,0.700186123
316,2.650367004
317,-0.847718391
318,0.012906116
319,-1.064581256
320,-1.060646889
321,-1.061462652
322,0.891322571
323,-0.271338339
324,-0.459966766
325,-0.281750322
326,-0.778051149
327,0.817273169
328,-0.961951632
329,1.568152344
330,-0.541829382
331,-1.026745407
332,-1.028891746
333,0.538455413
334,1.332023131
335,0.846232019
336,-0.981918439
337,-0.312939582
338,-1.114443415
339,-0.206725751
340,0.418145862
341,0.097489871
342,-0.65732893
343,1.283487787
344,-0.940197009
345,0.503113529
346,1.262898219
347,-0.218148195
348,-0.713896354
349,-1.058657626
350,-0.765015314
351,-1.12055959
352,-0.782475637
353,-1.07857036
354,0.483229122
355,-0.00522078
356,-1.060935891
357,1.31292708
358,0.311569924
359,-0.741832311
360,0.32631933
361,2.238862785
362,1.056130875
363,1.511688855
364,-0.538872744
365,0.239305509
366,1.311958433
367,0.265688252
368,-0.356487873
369,0.030312539
370,1.199704714
371,-0.091568808
372,1.934774706
373,-1.122838693
374,0.072071313
375,-0.970280798
376,-0.546721233
377,1.922033737
378,-0.469656903
379,-0.006450316
380,-1.009585413
381,0.996594376
382,-1.099373384
383,-0.19961381
384,-0.850209395
385,-0.044717846
386,-0.350758152
387,2.395476039
388,2.442153494
389,-0.136118807
390,-1.093562188
391,-1.037245965
392,1.102448025
393,-0.96999464
394,-1.087305593
395,1.489314821
396,-0.048054536
397,-0.864437671
398,-1.006515323
399,2.077971101
400,-0.608574246
401,-0.900965474
402,-0.254095179
403,-1.077387865
404,0.152295172
405,0.561154094
406,1.100162021
407,-0.210547344
408,-0.034905318
409,1.218632189
410,-1.07450105
411,1.241104309
412,-0.936950626
413,-0.773921074
414,0.334115525
415,0.422691835
416,-0.231483744
417,-1.086737254
418,1.112097903
419,-0.766472741
420,2.345383005
421,0.650491678
422,-0.83454161
423,-0.196127145
424,-0.916865442
425,2.251917741
426,0.303903531
427,0.750686819
428,0.321200182
429,-0.468166017
430,1.19998576
431,0.503832134
432,0.281705681
433,-1.082685374
434,0.078809964
435,-1.017632941
436,-0.647215591
437,-0.76361235
438,-0.690988125
439,2.206643416
440,-0.150402142
441,-0.148907216
442,-1.014410924
443,-0.892901213
444,0.560102321
445,-0.770813244
446,-0.010648275
447,1.106275556
448,1.654081182
449,-1.05060519
450,0.439080415
451,-1.072433694
452,1.303803338
453,1.831208346
454,-1.105316766
455,-0.746694161
456,1.369734353
457,1.091906589
458,0.145120757
459,0.424344554
460,-1.060380617
461,-1.121879778
462,0.180075457
463,-0.67203807
464,-0.97890421
465,1.827412922
466,1.510398802
467,-0.593331409
468,0.631220537
469,1.102192982
470,0.15565713
471,-0.621515849
472,-0.321575221
473,0.71223031
474,0.684148926
475,0.726387441
476,1.647223515
477,0.375039631
478,0.798347124
479,-0.917651447
480,-0.396027263
481,2.786421492
482,1.210678668
483,1.35413331
484,-0.434781424
485,1.728707925
486,-0.220897861
487,-1.08205502
488,-0.79325643
489,1.02107801
490,-0.44150357
491,-0.438425989
492,-0.475322647
493,2.647033754
494,-0.210637676
495,1.151609401
496,-0.498521633
497,-0.703243078
498,-0.880570706
499,-0.356587123
500,-1.02044089
501,0.976685769
502,0.72073687
503,-1.10721312
504,-1.020153293
505,-0.997760429
506,-1.07937914
507,2.492574833
508,-0.387895924
509,-0.065080988
510,-1.073799755
511,-0.977316942
512,-0.421206394
513,-0.374694308
514,0.821935935
515,-0.78046548
516,0.201070672
517,-0.360365943
518,1.568864217
519,-1.006552857
520,-0.564107899
521,-0.877790013
522,-1.121983701
523,0.061694684
524,-1.010183532
525,0.619242081
526,2.379709928
527,-0.278172593
528,1.032285245
529,-0.600369475
530,0.647166742
531,-1.048476551
532,2.004945149
533,-1.006549507
534,-1.110699111
535,0.772534238
536,1.28569239
537,1.085326913
538,-0.486703551
539,-0.046953083
540,-0.980800387
541,0.1355946
542,-0.565949515
543,0.159684546
544,0.721137703
545,0.205988685
546,-1.096603549
547,-0.96222368
548,1.485567169
549,-1.095754288
550,-1.076007339
551,-1.105666551
552,-0.860473039
553,2.829009329
554,0.927393589
555,-0.975765127
556,-0.592733131
557,0.137105568
558,-1.091539335
559,1.850257529
560,0.258764711
561,1.95622471
562,-1.112731136
563,-0.366601542
564,0.214781882
565,0.038821525
566,0.23732167
567,-0.490721573
568,-0.157989115
569,-0.985419386
570,2.545954087
571,-0.341726788
572,0.876600422
573,0.327011439
574,-0.611990352
575,-0.742791533
576,0.103166422
577,0.877084324
578,0.095437802
579,-1.0883678
580,-0.258939428
581,1.60754641
582,-0.777032995
583,-0.715866389
584,-0.880027194
585,1.270514347
586,-0.58358548
587,1.455465877
588,1.971542664
589,0.723320926
590,0.378750681
591,-0.620373654
592,-0.215325534
593,-0.38536642
594,-0.474619389
595,1.213847867
596,-1.082127932
597,-0.735930147
598,-0.474290031
599,-1.115516854
600,-0.595630115
601,-0.017579863
602,-0.274480751
603,-0.687517689
604,0.52642801
605,-0.477509195
606,-0.220606087
607,1.375632409
608,1.992445523
609,1.877541996
610,2.039037357
611,0.06789832
612,1.226869735
613,-0.584596357
614,0.280456698
615,-0.441479771
616,-1.031286183
617,0.283681553
618,0.325085146
619,-1.014910534
620,-0.875739428
621,-0.66271002
622,-0.138496579
623,0.905581823
624,-1.097768224
625,-1.102363341
626,0.574854962
627,-0.621421848
628,1.720018634
629,-1.052312506
630,-0.208632065
631,-0.327644776
632,-0.790397092
633,0.548631382
634,-1.070828409
635,-0.489836706
636,-1.11574068
637,1.08642059
638,-0.792125238
639,-1.076195364
640,0.970191609
641,-0.92070513
642,-1.039566012
643,-0.678697568
644,1.935274898
645,-0.877639897
646,-0.141863951
647,-0.22929838
648,-0.625965317
649,-0.087357715
650,-1.12095445
651,1.67250883
652,-0.446759183
653,-0.344109183
654,-1.087488025
655,-1.088009881
656,-1.069590178
657,-0.872759468
658,-1.097136917
659,0.073220987
660,-0.871011293
661,-0.968245812
662,1.686346182
663,0.051777382
664,0.575839419
665,1.121504777
666,-0.565698364
667,-0.751404171
668,0.127885008
669,-0.308885149
670,0.480526223
671,1.551705778
672,0.670895325
