,d1,d2,r1,t1,d3
0,-0.258460386,0.293503346,-0.358419581,0.671761526,-0.257585175
1,0.89144929,0.888928051,-1.326649515,-0.750908912,1.128867082
2,-1.04964865,-0.319467973,0.346250365,0.023013216,-0.852783883
3,0.314791978,1.584797432,1.158960197,-1.213302448,0.128418694
4,-1.122600588,-0.276786524,0.918485983,-0.775062364,-1.231360913
5,-1.519899089,-1.647728163,1.155438588,1.246384371,-1.523945761
6,1.447250432,-1.623340803,-2.881081847,1.066111714,1.35190739
7,-0.546759253,-0.784480136,0.00804288,0.648602287,-0.737277958
8,-1.604554723,0.156563059,1.037389549,-1.027998476,-1.596419076
9,-0.542013883,0.496674963,1.1062532,-1.691392996,-0.757014102
10,-0.621472769,-1.02597973,-0.305101457,1.557514505,-0.813773494
11,0.155293531,-0.471917134,0.632232241,1.193584,0.19791868
12,-0.887088819,0.429835223,0.594279091,-1.378383075,-0.748988065
13,-0.431445867,1.485321703,0.438214658,-0.700632556,-0.255650256
14,-0.261084874,0.429356795,0.366979772,0.654383599,-0.230591203
15,0.199536877,1.076625318,0.952764785,-0.075482968,0.231512774
16,-0.309913319,-0.139225288,0.481427165,1.099717007,-0.389360019
17,0.979615457,0.310529344,-0.332370357,0.857033807,0.697362126
18,0.887183306,-0.212158442,0.718000797,-0.797217904,1.034291266
19,-1.444209036,-0.500833262,0.923599084,-0.176797647,-1.651639953
20,0.398575929,2.061891383,0.301226177,-1.45065357,0.169780199
21,1.008773755,-1.091902374,-0.141162299,1.065948247,1.157196991
22,-0.127128457,1.813927234,-0.940280162,-1.687274553,-0.083460271
23,0.863005266,1.233461509,0.309179857,-1.062967149,1.009606387
24,-0.248777391,-0.400944508,-0.119119139,0.683885032,-0.348684952
25,0.143198996,-0.331214544,-0.600323413,0.110232996,0.37138078
26,-1.204495081,-0.772909657,0.944664241,0.764436906,-1.295845701
27,-0.863480015,-0.791588339,-0.015173072,-1.053750465,-0.780074351
28,-1.177306637,-0.25088858,0.460195773,0.618595533,-1.237067431
29,1.160530246,-1.495107388,-2.571615691,1.738112027,0.96411039
30,1.658308339,2.654391831,0.729942981,-1.4662933,1.537121756
31,-0.248466347,-1.751948288,-0.386222942,0.877752595,-0.516559641
32,0.970809972,-0.104112103,0.036454966,-1.64977232,1.084253222
33,0.54388929,-1.587802611,-0.680021731,0.930505661,0.310627127
34,0.283223243,2.351085859,-0.088678418,-1.594894065,0.210023668
35,1.365910435,-0.337516631,0.842955108,-0.934646449,1.464607317
36,-0.520456783,-1.489566957,1.062100262,1.702732295,-0.473544744
37,1.407195121,0.967218705,-1.399492735,0.492028379,1.611372795
38,-0.14865173,0.576110844,0.217999982,0.054556174,-0.214987619
39,1.572269919,-0.455341576,-2.101302568,0.999056886,1.724993556
40,-0.576209593,2.018497768,0.922371372,-1.547816855,-0.624352892
41,-0.113769558,-0.880937647,-0.118073789,-0.064947308,-0.343635863
42,0.077999701,0.24568691,0.510696431,1.383888253,0.149775566
43,-0.981888205,-1.539228428,0.961469664,0.468527893,-1.173702185
44,1.316385454,-1.06447025,-1.021826423,0.532657444,1.109140566
45,0.554190242,-0.103857211,1.024065171,0.392531473,0.744425069
46,0.749749918,0.590112156,-0.398225552,0.598901698,0.707950181
47,-0.429299097,0.856023226,-0.111353506,-1.633745907,-0.194856828
48,1.264331488,1.722327475,-0.266926181,-0.458369512,1.221540693
49,0.667682822,1.151016742,-1.746041475,-0.61623495,0.803184912
50,-1.149867396,0.366353969,1.0125886,-0.66368546,-1.368718588
51,-0.29346399,0.219265961,0.918531086,0.693538824,-0.446543913
52,-0.824419092,-0.069752245,0.413286473,0.881461735,-0.887900666
53,-1.270722629,-0.258917239,0.944013356,-1.339409385,-1.150876406
54,1.068877986,-0.414572922,-2.080186965,1.687078093,1.099056759
55,1.429378262,1.938116635,0.443208019,-0.116030665,1.576756371
56,0.570525695,1.387009846,0.933542409,0.251817101,0.800810139
57,0.950251745,-0.012080922,-0.718673553,-0.225613623,1.194371341
58,-0.651817406,1.858810967,1.00627583,-1.569973882,-0.526210971
59,-0.418149324,1.064798332,1.065869618,-0.917082598,-0.523505533
60,0.438204285,0.244087582,0.393699818,1.448294907,0.594351959
61,-0.067238196,-1.470717061,0.103730837,1.113825245,-0.106424833
62,-0.361493611,-0.393632887,0.511297019,1.266709498,-0.324515655
63,-0.056590863,-1.363471256,-0.101792652,1.018516728,0.20030308
64,-0.44516246,-0.103344278,0.580541432,-0.078025827,-0.616778232
65,1.319602062,-0.500936888,-0.655300671,-0.252998967,1.490241978
66,1.098937335,0.40357569,0.373436891,-1.279466442,1.2905892
67,-0.417671302,-1.342961011,0.119414376,1.370213997,-0.137977179
68,0.027135035,0.121719487,-0.007409622,-0.837637761,-0.07562757
69,1.038792461,-0.625827586,-1.04686389,1.119441215,1.091980915
70,0.576961446,1.124115229,0.55017577,0.575088181,0.330105602
71,0.790910908,-0.490675671,-0.96597728,0.790229479,0.880129691
72,1.634733369,1.18480935,-0.907625041,-1.092030752,1.750656549
73,-0.410375488,-1.560903095,0.354535258,0.660849554,-0.449684176
74,1.366368347,0.262396036,-0.687768924,0.840755424,1.185215139
75,-0.460341661,-0.639654187,0.527999941,1.444731356,-0.390019888
76,-0.317273168,1.401437232,0.764875974,-0.311942727,-0.386940646
77,1.097748846,1.0176285,-1.978504758,-0.945977176,1.071371527
78,-0.172749785,1.043984221,-0.70935141,-1.599228899,-0.297335913
79,1.631297748,1.454755688,-0.26452722,0.681586041,1.762576847
80,1.661206594,0.266731879,-2.400169153,1.409226966,1.832942537
81,-0.960968361,-1.260727568,1.039895887,0.677270539,-0.974867674
82,1.472831507,1.290860008,-0.252172504,-1.134456887,1.313380462
