method,target,score,mse,mape
linear,hysteresis,0.8773709597872481,0.1250157679286774,0.9143282740933056
linear,joule,0.7253455570515654,0.3163313198789897,1.7149396944604254
reg_tree,hysteresis,0.9691052949575948,0.0314960083607066,0.5506646030615956
reg_tree,joule,0.821565260297318,0.2055109544796645,0.4361958879848157
rand_for,hysteresis,0.977951848607027,0.0224772743309266,0.3174292563867419
rand_for,joule,0.8311358226324127,0.1944881267294757,0.3375659338329662
catboost,hysteresis,0.9821763415523632,0.0181705601239635,0.135156569010249
catboost,joule,0.834710469341085,0.1903710525641483,0.1897926607587488
xgboost,hysteresis,0.980643761407019,0.019732968860508,0.1909288671215535
xgboost,joule,0.8330872234799156,0.1922406145498914,0.2476125261047248
cat_rand,hysteresis,0.981849325201333,0.018503941190784,0.1619303398539716
cat_rand,joule,0.8332799954298247,0.192018590814554,0.1969733974263574
xgb_rand,hysteresis,0.9809007219365016,0.019471007110951,0.1782085249327819
xgb_rand,joule,0.8335224884913275,0.1917393011391961,0.2174644810929848
