method,target,score,mse,mape
linear,hysteresis,0.8858556423459248,0.1112609906815053,4.135917126011937
linear,joule,0.8510448622329982,0.1453581464769374,1.9015984255874296
reg_tree,hysteresis,0.9693377756634972,0.0298876749257879,1.9799173541875768
reg_tree,joule,0.9493798789067242,0.0493977387209448,0.9250583502245512
rand_for,hysteresis,0.9891440921890982,0.0105816799236673,0.7230137737418436
rand_for,joule,0.98177367593637,0.0177861920219321,0.514356596775124
catboost,hysteresis,0.9959042069491438,0.0039923304299081,0.8285590670432982
catboost,joule,0.9917728639987528,0.0080284658715538,0.2603919790083394
xgboost,hysteresis,0.992064581585006,0.0077349641495219,0.7354301778912613
xgboost,joule,0.9859184809882062,0.0137414763519996,0.4244533818707033
cat_rand,hysteresis,0.9952441763240558,0.0046356882159318,0.57842393363951
cat_rand,joule,0.9916114023322516,0.0081860285372096,0.2689945569673667
xgb_rand,hysteresis,0.9937014252663584,0.0061394682939148,0.8918635064445228
xgb_rand,joule,0.9879841068727722,0.0117257315150208,0.2982761605414513
