method,target,score,mse,mape
linear,hysteresis,0.8985861871927244,0.1030194176309473,1.468986477368257
linear,joule,0.8675511791321361,0.1346832784923373,1.6929687885829674
reg_tree,hysteresis,0.97254995784747,0.027884636995876,0.6695675372082682
reg_tree,joule,0.9733596169498472,0.0270898155678246,0.7140191992839126
rand_for,hysteresis,0.9897025144201028,0.0104605175383761,0.5740137651463729
rand_for,joule,0.9893646255983468,0.0108147968628361,0.5933379932795791
catboost,hysteresis,0.9981828985758976,0.0018458701561999,0.2165677637846464
catboost,joule,0.9971350187705872,0.0029133144581276,0.3182807442149116
xgboost,hysteresis,0.9952319576015436,0.0048435310489913,0.4285640247006668
xgboost,joule,0.9938645034574064,0.0062390045009104,0.447478995601391
cat_rand,hysteresis,0.9972037689647236,0.0028405015534047,0.2631567753117297
cat_rand,joule,0.9968582153854424,0.0031947876125492,0.1890692026219032
xgb_rand,hysteresis,0.9959117627986228,0.0041529630329888,0.3159615751061627
xgb_rand,joule,0.9946875048699332,0.0054021187686208,0.3312230043166241
